Gene_ID	module
AgateH2.01G129600	darkgreen
AgateH2.01G130100	red
AgateH2.01G130200	honeydew1
AgateH2.01G130300	black
AgateH2.01G130400	antiquewhite4
AgateH2.01G130600	magenta
AgateH2.01G131000	blue
AgateH2.01G131100	darkturquoise
AgateH2.01G131400	orangered4
AgateH2.01G131500	brown
AgateH2.01G131700	blue
AgateH2.01G132000	yellowgreen
AgateH2.01G132200	purple
AgateH2.01G132300	violet
AgateH2.01G132500	lightcyan
AgateH2.01G132600	darkturquoise
AgateH2.01G132700	green
AgateH2.01G132800	orangered4
AgateH2.01G133000	greenyellow
AgateH2.01G133100	violet
AgateH2.01G133200	lightslateblue
AgateH2.01G133300	plum2
AgateH2.01G133400	orangered4
AgateH2.01G133500	purple
AgateH2.01G133600	paleturquoise
AgateH2.01G133700	brown
AgateH2.01G133800	lightcyan
AgateH2.01G134000	orangered4
AgateH2.01G134100	red
AgateH2.01G134200	black
AgateH2.01G134300	orangered4
AgateH2.01G134400	purple
AgateH2.01G134500	saddlebrown
AgateH2.01G134600	skyblue4
AgateH2.01G134700	lightyellow
AgateH2.01G134800	mediumorchid
AgateH2.01G134900	orangered4
AgateH2.01G135000	red
AgateH2.01G135100	orangered4
AgateH2.01G135300	darkseagreen3
AgateH2.01G135500	firebrick3
AgateH2.01G135600	darkgrey
AgateH2.01G135800	plum2
AgateH2.01G136200	coral1
AgateH2.01G136300	violet
AgateH2.01G136500	darkolivegreen
AgateH2.01G136700	mediumorchid
AgateH2.01G136800	darkolivegreen
AgateH2.01G137000	mediumorchid
AgateH2.01G137100	mediumorchid
AgateH2.01G137400	brown4
AgateH2.01G137500	darkgreen
AgateH2.01G137600	magenta
AgateH2.01G137700	salmon2
AgateH2.01G137800	purple
AgateH2.01G137900	thistle3
AgateH2.01G138000	darkgreen
AgateH2.01G138100	darkgrey
AgateH2.01G138300	sienna3
AgateH2.01G138400	brown
AgateH2.01G138600	pink4
AgateH2.01G139100	navajowhite2
AgateH2.01G139300	plum2
AgateH2.01G139700	orangered4
AgateH2.01G139800	orangered4
AgateH2.01G139900	darkturquoise
AgateH2.01G140100	greenyellow
AgateH2.01G140200	paleturquoise
AgateH2.01G140300	orangered4
AgateH2.01G140500	darkorange2
AgateH2.01G140600	plum1
AgateH2.01G141100	yellowgreen
AgateH2.01G141200	royalblue
AgateH2.01G141600	plum1
AgateH2.01G141700	greenyellow
AgateH2.01G141900	magenta
AgateH2.01G142300	brown4
AgateH2.01G142400	green
AgateH2.01G142600	blue
AgateH2.01G142700	floralwhite
AgateH2.01G142800	darkolivegreen4
AgateH2.01G142900	black
AgateH2.01G143000	orangered4
AgateH2.01G143500	lightslateblue
AgateH2.01G143700	darkolivegreen4
AgateH2.01G143800	firebrick4
AgateH2.01G144200	brown
AgateH2.01G144400	brown
AgateH2.01G144600	grey60
AgateH2.01G144700	brown2
AgateH2.01G144800	brown
AgateH2.01G145000	green
AgateH2.01G145100	green
AgateH2.01G145700	darkmagenta
AgateH2.01G145800	yellowgreen
AgateH2.01G145900	floralwhite
AgateH2.01G146100	lightcyan1
AgateH2.01G146400	white
AgateH2.01G146600	lightcyan
AgateH2.01G146800	orangered3
AgateH2.01G146900	royalblue
AgateH2.01G147000	firebrick4
AgateH2.01G147100	lightyellow
AgateH2.01G147200	lightblue4
AgateH2.01G147300	brown
AgateH2.01G147400	lightcyan
AgateH2.01G147600	darkturquoise
AgateH2.01G147700	darkred
AgateH2.01G147800	lavenderblush2
AgateH2.01G147900	coral2
AgateH2.01G148000	orangered4
AgateH2.01G148100	plum
AgateH2.01G148300	lightyellow
AgateH2.01G148400	orangered4
AgateH2.01G148500	floralwhite
AgateH2.01G148600	skyblue3
AgateH2.01G148800	paleturquoise
AgateH2.01G148900	lightcyan
AgateH2.01G149000	black
AgateH2.01G149200	darkolivegreen
AgateH2.01G149400	violet
AgateH2.01G149600	indianred4
AgateH2.01G150000	orangered4
AgateH2.01G150500	royalblue
AgateH2.01G150700	blue
AgateH2.01G150900	darkolivegreen
AgateH2.01G151000	floralwhite
AgateH2.01G151100	blue
AgateH2.01G151200	black
AgateH2.01G151300	darkslateblue
